1 1:0:1 2:6:1 3:9:1 4:13:1.372710696223565 5:14:0.8135096360006385
1 1:0:1 2:6:1 3:9:1 4:13:1.2798898974129846 5:14:0.02100384163275905
0 1:1:1 2:3:1 3:9:1 4:13:-0.7873652323462994 5:14:1.1631637521549596
0 1:0:1 2:3:1 3:8:1 4:13:-0.5750021456712677 5:14:-0.661786464768388
0 1:0:1 2:3:1 3:8:1 4:13:-0.8168062806626004 5:14:-0.48536354782910346
1 1:0:1 2:6:1 3:9:1 4:13:1.5723367624455282 5:14:0.117327383308782
1 1:0:1 2:3:1 3:8:1 4:13:0.9334395215913824 5:14:0.35701548596504734
1 1:0:1 2:3:1 3:8:1 4:13:0.4805020029044593 5:14:0.7472936051232618
1 1:0:1 2:6:1 3:8:1 4:13:1.6588224640742952 5:14:-1.2002964070557762
0 1:0:1 2:3:1 3:8:1 4:13:-1.032232742385394 5:14:0.19905969557347003
0 1:1:1 2:3:1 3:9:1 4:13:-0.5083309481166585 5:14:0.11351734525124804
1 1:2:1 2:3:1 3:10:1 4:13:0.6273745047261476 5:14:0.8657551941701215
0 1:0:1 2:3:1 3:8:1 4:13:-0.3856677583672411 5:14:-0.7153037092599682
1 1:0:1 2:3:1 3:8:1 4:13:1.0396701927796332 5:14:1.6324113039316352
0 1:0:1 2:5:1 3:8:1 4:13:-1.0983168132560461 5:14:0.6339190223180112
0 1:1:1 2:3:1 3:9:1 4:13:-0.9191668645752945 5:14:1.586016816145352
1 1:0:1 2:6:1 3:8:1 4:13:1.5057524855440496 5:14:-1.2608839543350452
0 1:0:1 2:5:1 3:10:1 4:13:-1.0063498510781044 5:14:0.6862601903745135
1 1:0:1 2:6:1 3:8:1 4:13:1.4683082741920452 5:14:-0.6533292325737119
0 1:0:1 2:7:1 3:8:1 4:13:-2.5859085601762173 5:14:0.010233061019587049
0 1:2:1 2:7:1 3:12:1 4:13:-2.0091854456545235 5:14:-1.0777447779293061
0 1:0:1 2:5:1 3:8:1 4:13:-2.2813861028168905 5:14:-1.237815498826849
0 1:0:1 2:5:1 3:10:1 4:13:-1.548510140553303 5:14:0.5049872789804571
1 1:2:1 2:3:1 3:10:1 4:13:1.0865941274926592 5:14:-0.2525681513931603
0 1:0:1 2:5:1 3:8:1 4:13:-1.6483207269653521 5:14:-0.15178509503558332
1 1:0:1 2:6:1 3:9:1 4:13:0.861991467010861 5:14:0.6296288419236122
0 1:0:1 2:5:1 3:10:1 4:13:-1.4117585997570292 5:14:-1.6127158711896517
1 1:2:1 2:3:1 3:10:1 4:13:0.4505901958944064 5:14:2.1221561970126332
1 1:0:1 2:6:1 3:8:1 4:13:1.560704376657771 5:14:-1.0243876413342898
